"paper_id","citation_key","note_file","pdf_status","pdf_best_match_name","pdf_best_match_path","best_score","alt_match_2","alt2_score","alt_match_3","alt3_score"
"P-011","adomavicius_toward_2005","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-011_adomavicius_toward_2005.md","matched","Adomavicius and Tuzhilin - 2005 - Toward the next generation of recommender systems a survey of the state-of-the-art and possible ext.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Adomavicius and Tuzhilin - 2005 - Toward the next generation of recommender systems a survey of the state-of-the-art and possible ext.pdf","13","Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","1","Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","1"
"P-012","lu_recommender_2015","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-012_lu_recommender_2015.md","matched","Lu et al. - 2015 - Recommender system application developments A survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\383\Lu et al. - 2015 - Recommender system application developments A survey.pdf","7","Bonnin and Jannach - 2015 - Automated Generation of Music Playlists Survey and Experiments.pdf","4","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","1"
"P-013","roy_systematic_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-013_roy_systematic_2022.md","matched","Roy and Dutta - 2022 - A systematic review and research perspective on recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\385\Roy and Dutta - 2022 - A systematic review and research perspective on recommender systems.pdf","12","Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","6","Nurraharjo et al. - 2022 - A New Color-Based Instrument Model For Basic Music Learning.pdf","4"
"P-014","tsai_explaining_2018","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-014_tsai_explaining_2018.md","matched","Tsai and Brusilovsky - 2018 - Explaining Social Recommendations to Casual Users Design Principles and Opportunities.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\393\Tsai and Brusilovsky - 2018 - Explaining Social Recommendations to Casual Users Design Principles and Opportunities.pdf","16","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","4","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","4"
"P-015","balog_transparent_2019","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-015_balog_transparent_2019.md","matched","Balog et al. - 2019 - Transparent, Scrutable and Explainable User Models for Personalized Recommendation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\397\Balog et al. - 2019 - Transparent, Scrutable and Explainable User Models for Personalized Recommendation.pdf","15","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","4","Gatzioura et al. - 2019 - A Hybrid Recommender System for Improving Automatic Playlist Continuation.pdf","4"
"P-016","flexer_problem_2016","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-016_flexer_problem_2016.md","matched","Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\401\Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf","16","Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","4","Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf","1"
"P-017","neto_algorithmic_2023","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-017_neto_algorithmic_2023.md","matched","Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\403\Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf","16","Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","5","Ostermann et al. - 2023 - AAM a dataset of Artificial Audio Multitracks for diverse music information retrieval tasks.pdf","5"
"P-018","liu_multimodal_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-018_liu_multimodal_2025.md","matched","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\411\Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","10","Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","8","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","6"
"P-019","assuncao_considering_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-019_assuncao_considering_2022.md","matched","Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\413\Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","16","Nurraharjo et al. - 2022 - A New Color-Based Instrument Model For Basic Music Learning.pdf","5","Revathy and Pillai - 2022 - Multi-class classification of song emotions using Machine learning.pdf","5"
"P-020","andjelkovic_moodplay_2019","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-020_andjelkovic_moodplay_2019.md","matched","Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\415\Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf","15","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","5","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","5"
"P-021","knijnenburg_explaining_2012","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-021_knijnenburg_explaining_2012.md","matched","Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\422\Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf","12","Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","4","McFee et al. - 2012 - The million song dataset challenge.pdf","4"
"P-022","lopes_xai_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-022_lopes_xai_2022.md","matched","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\424\Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","13","Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","4","Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","4"
"P-023","afroogh_trust_2024","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-023_afroogh_trust_2024.md","matched","Afroogh et al. - 2024 - Trust in AI progress, challenges, and future directions.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\428\Afroogh et al. - 2024 - Trust in AI progress, challenges, and future directions.pdf","15","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","5","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","5"
"P-024","cano_hybrid_2017","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-024_cano_hybrid_2017.md","matched","Çano and Morisio - 2017 - Hybrid recommender systems A systematic literature review.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\430\Çano and Morisio - 2017 - Hybrid recommender systems A systematic literature review.pdf","12","He et al. - 2017 - Neural Collaborative Filtering.pdf","4","Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","4"
"P-025","fkih_similarity_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-025_fkih_similarity_2022.md","matched","Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\432\Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","15","Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","4","Nurraharjo et al. - 2022 - A New Color-Based Instrument Model For Basic Music Learning.pdf","4"
"P-026","bo_shao_music_2009","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-026_bo_shao_music_2009.md","matched","Bo Shao et al. - 2009 - Music Recommendation Based on Acoustic Features and User Access Patterns.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\434\Bo Shao et al. - 2009 - Music Recommendation Based on Acoustic Features and User Access Patterns.pdf","15","Askin and Mauskapf - 2017 - What Makes Popular Culture Popular Product Features and Optimal Differentiation in Music.pdf","3","Nurraharjo et al. - 2022 - A New Color-Based Instrument Model For Basic Music Learning.pdf","2"
"P-027","he_neural_2017","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-027_he_neural_2017.md","matched","He et al. - 2017 - Neural Collaborative Filtering.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\436\He et al. - 2017 - Neural Collaborative Filtering.pdf","8","Çano and Morisio - 2017 - Hybrid recommender systems A systematic literature review.pdf","4","Askin and Mauskapf - 2017 - What Makes Popular Culture Popular Product Features and Optimal Differentiation in Music.pdf","4"
"P-028","gatzioura_hybrid_2019","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-028_gatzioura_hybrid_2019.md","matched","Gatzioura et al. - 2019 - A Hybrid Recommender System for Improving Automatic Playlist Continuation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\405\Gatzioura et al. - 2019 - A Hybrid Recommender System for Improving Automatic Playlist Continuation.pdf","15","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","8","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","8"
"P-029","allam_improved_2018","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-029_allam_improved_2018.md","matched","Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf","16","Teinemaa et al. - 2018 - Automatic Playlist Continuation through a Composition of Collaborative Filters.pdf","4","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","4"
"P-030","papadakis_blocking_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-030_papadakis_blocking_2021.md","matched","Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf","15","Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","5","Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","4"
"P-031","barlaug_neural_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-031_barlaug_neural_2021.md","matched","Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","14","Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf","5","Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","4"
"P-032","beel_towards_2016","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-032_beel_towards_2016.md","matched","Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","12","Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf","4","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","2"
"P-033","bellogin_improving_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-033_bellogin_improving_2021.md","matched","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","10","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","6","Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","4"
"P-034","cavenaghi_systematic_2023","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-034_cavenaghi_systematic_2023.md","matched","Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","14","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","6","Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","5"
"P-035","binette_almost_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-035_binette_almost_2022.md","matched","Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","13","Revathy and Pillai - 2022 - Multi-class classification of song emotions using Machine learning.pdf","4","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","4"
"P-036","elmagarmid_duplicate_2007","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-036_elmagarmid_duplicate_2007.md","matched","Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","13","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","4","Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf","1"
"P-037","ferrari_dacrema_troubling_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-037_ferrari_dacrema_troubling_2021.md","matched","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","15","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","6","Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","4"
"P-038","herlocker_evaluating_2004","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-038_herlocker_evaluating_2004.md","matched","Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf","13","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","2","Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","2"
"P-039","kowald_support_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-039_kowald_support_2021.md","matched","Kowald et al. - 2021 - Support the underground characteristics of beyond-mainstream music listeners.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Kowald et al. - 2021 - Support the underground characteristics of beyond-mainstream music listeners.pdf","16","Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","5","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","5"
"P-040","zhu_bars_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-040_zhu_bars_2022.md","matched","Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","9","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","4","Revathy and Pillai - 2022 - Multi-class classification of song emotions using Machine learning.pdf","4"
"P-041","pegoraro_santana_music4all_2020","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-041_pegoraro_santana_music4all_2020.md","matched","Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","15","Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","5","Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","4"
"P-042","sotirou_musiclime_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-042_sotirou_musiclime_2025.md","matched","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","15","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","5","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","5"
"P-043","liu_aggregating_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-043_liu_aggregating_2025.md","matched","Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","15","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","9","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","5"
