"paper_id","citation_key","note_exists","match_status","best_score","best_pdf","best_pdf_path","top2_score","top2_pdf"
"P-011","adomavicius_toward_2005","True","missing_pdf","3","Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","3","Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf"
"P-012","lu_recommender_2015","True","matched","8","Lu et al. - 2015 - Recommender system application developments A survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\383\Lu et al. - 2015 - Recommender system application developments A survey.pdf","3","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf"
"P-013","roy_systematic_2022","True","matched","12","Roy and Dutta - 2022 - A systematic review and research perspective on recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\385\Roy and Dutta - 2022 - A systematic review and research perspective on recommender systems.pdf","6","Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf"
"P-014","tsai_explaining_2018","True","matched","12","Tsai and Brusilovsky - 2018 - Explaining Social Recommendations to Casual Users Design Principles and Opportunities.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\393\Tsai and Brusilovsky - 2018 - Explaining Social Recommendations to Casual Users Design Principles and Opportunities.pdf","3","Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf"
"P-015","balog_transparent_2019","True","matched","12","Balog et al. - 2019 - Transparent, Scrutable and Explainable User Models for Personalized Recommendation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\397\Balog et al. - 2019 - Transparent, Scrutable and Explainable User Models for Personalized Recommendation.pdf","3","Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf"
"P-016","flexer_problem_2016","True","matched","12","Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\401\Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf","3","Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf"
"P-017","neto_algorithmic_2023","True","matched","12","Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\403\Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf","3","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf"
"P-018","liu_multimodal_2025","True","matched","10","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\411\Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","6","Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf"
"P-019","assuncao_considering_2022","True","matched","12","Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\413\Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","4","Revathy and Pillai - 2022 - Multi-class classification of song emotions using Machine learning.pdf"
"P-020","andjelkovic_moodplay_2019","True","matched","12","Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\415\Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf","4","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf"
"P-021","knijnenburg_explaining_2012","True","matched","11","Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\422\Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf","3","Tsai and Brusilovsky - 2018 - Explaining Social Recommendations to Casual Users Design Principles and Opportunities.pdf"
"P-022","lopes_xai_2022","True","matched","12","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\424\Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","3","Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf"
"P-023","afroogh_trust_2024","True","matched","12","Afroogh et al. - 2024 - Trust in AI progress, challenges, and future directions.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\428\Afroogh et al. - 2024 - Trust in AI progress, challenges, and future directions.pdf","4","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf"
"P-024","cano_hybrid_2017","True","matched","9","Çano and Morisio - 2017 - Hybrid recommender systems A systematic literature review.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\430\Çano and Morisio - 2017 - Hybrid recommender systems A systematic literature review.pdf","4","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf"
"P-025","fkih_similarity_2022","True","matched","12","Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\432\Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","3","Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf"
"P-026","bo_shao_music_2009","True","matched","9","Bo Shao et al. - 2009 - Music Recommendation Based on Acoustic Features and User Access Patterns.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\434\Bo Shao et al. - 2009 - Music Recommendation Based on Acoustic Features and User Access Patterns.pdf","2","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf"
"P-027","he_neural_2017","True","matched","8","He et al. - 2017 - Neural Collaborative Filtering.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\436\He et al. - 2017 - Neural Collaborative Filtering.pdf","3","Askin and Mauskapf - 2017 - What Makes Popular Culture Popular Product Features and Optimal Differentiation in Music.pdf"
"P-028","gatzioura_hybrid_2019","True","matched","12","Gatzioura et al. - 2019 - A Hybrid Recommender System for Improving Automatic Playlist Continuation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\405\Gatzioura et al. - 2019 - A Hybrid Recommender System for Improving Automatic Playlist Continuation.pdf","7","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf"
"P-029","allam_improved_2018","True","matched","12","Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf","3","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf"
"P-030","papadakis_blocking_2021","True","matched","12","Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf","4","Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf"
"P-031","barlaug_neural_2021","True","matched","12","Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","4","Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf"
"P-032","beel_towards_2016","True","matched","11","Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","3","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf"
"P-033","bellogin_improving_2021","True","matched","9","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","5","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf"
"P-034","cavenaghi_systematic_2023","True","matched","12","Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","6","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf"
"P-035","binette_almost_2022","True","matched","11","Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","3","Nurraharjo et al. - 2022 - A New Color-Based Instrument Model For Basic Music Learning.pdf"
"P-036","elmagarmid_duplicate_2007","True","matched","11","Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","3","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf"
"P-037","ferrari_dacrema_troubling_2021","True","matched","12","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","5","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf"
"P-038","herlocker_evaluating_2004","True","matched","12","Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf","3","Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf"
"P-039","kowald_support_2021","True","matched","12","Kowald et al. - 2021 - Support the underground characteristics of beyond-mainstream music listeners.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Kowald et al. - 2021 - Support the underground characteristics of beyond-mainstream music listeners.pdf","3","Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf"
"P-040","zhu_bars_2022","True","matched","8","Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","3","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf"
"P-041","pegoraro_santana_music4all_2020","True","matched","12","Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","4","Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf"
"P-042","sotirou_musiclime_2025","True","matched","12","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","4","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf"
"P-043","liu_aggregating_2025","True","matched","12","Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","7","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf"
"P-044","ru_improving_2023","True","matched","9","Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf","4","Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf"
"P-045","moysis_music_2023","True","matched","11","Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","6","Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf"
"P-046","kang_are_2025","True","matched","12","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","6","Shakespeare et al. - 2025 - Reframing the filter bubble through diverse scale effects in online music consumption.pdf"
"P-047","zhu_muq_2025","True","matched","12","Zhu et al. - 2025 - MuQ Self-Supervised Music Representation Learning With Mel Residual Vector Quantization.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Zhu et al. - 2025 - MuQ Self-Supervised Music Representation Learning With Mel Residual Vector Quantization.pdf","4","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf"
"P-048","knox_loss_2021","True","matched","12","Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","5","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf"
"P-049","pandeya_multi-modal_2021","True","matched","10","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","4","Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf"
"P-050","schedl_investigating_2017","True","matched","12","Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","4","Siedenburg and Müllensiefen - 2017 - Modeling Timbre Similarity of Short Music Clips.pdf"
"P-051","siedenburg_modeling_2017","True","matched","12","Siedenburg and Müllensiefen - 2017 - Modeling Timbre Similarity of Short Music Clips.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Siedenburg and Müllensiefen - 2017 - Modeling Timbre Similarity of Short Music Clips.pdf","3","Askin and Mauskapf - 2017 - What Makes Popular Culture Popular Product Features and Optimal Differentiation in Music.pdf"
"P-052","anelli_elliot_2021","True","matched","12","Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","3","Papadakis et al. - 2021 - Blocking and Filtering Techniques for Entity Resolution A Survey.pdf"
"P-053","betello_reproducible_2025","True","matched","11","Betello et al. - 2025 - A Reproducible Analysis of Sequential Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Betello et al. - 2025 - A Reproducible Analysis of Sequential Recommender Systems.pdf","4","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf"
"P-054","shakespeare_reframing_2025","True","matched","12","Shakespeare et al. - 2025 - Reframing the filter bubble through diverse scale effects in online music consumption.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Shakespeare et al. - 2025 - Reframing the filter bubble through diverse scale effects in online music consumption.pdf","3","Gemilang and Toto Wibowo - 2025 - Combining Graph Neural Network with Attention Mechanism in Sequence-Based Music Recommendation Syste.pdf"
"P-055","jannach_measuring_2019","True","ambiguous","4","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\420\Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","4","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf"
"P-056","sanchez_pointofinterest_2022","True","ambiguous","4","Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\432\Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","4","Roy and Dutta - 2022 - A systematic review and research perspective on recommender systems.pdf"
"P-057","bauer_exploring_2024","True","matched","12","Bauer et al. - 2024 - Exploring the Landscape of Recommender Systems Evaluation Practices and Perspectives.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Bauer et al. - 2024 - Exploring the Landscape of Recommender Systems Evaluation Practices and Perspectives.pdf","4","Dular and Špiclin - 2024 - BASE Brain Age Standardized Evaluation.pdf"
"P-058","yu_self_supervised_2024","True","ambiguous","5","Self-Supervised_Learning_for_Recommender_Systems_A_Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Self-Supervised_Learning_for_Recommender_Systems_A_Survey.pdf","4","Zhu et al. - 2025 - MuQ Self-Supervised Music Representation Learning With Mel Residual Vector Quantization.pdf"
"P-059","zamani_analysis_2019","True","matched","12","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\572\Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","12","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf"
"P-060","teinemaa_composition_2018","True","matched","12","Teinemaa et al. - 2018 - Automatic Playlist Continuation through a Composition of Collaborative Filters.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Teinemaa et al. - 2018 - Automatic Playlist Continuation through a Composition of Collaborative Filters.pdf","6","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf"
"P-061","bonnin_automated_2015","True","matched","12","Bonnin and Jannach - 2015 - Automated Generation of Music Playlists Survey and Experiments.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\569\Bonnin and Jannach - 2015 - Automated Generation of Music Playlists Survey and Experiments.pdf","4","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf"
"P-062","mcfee_million_2012","True","matched","11","McFee et al. - 2012 - The million song dataset challenge.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\570\McFee et al. - 2012 - The million song dataset challenge.pdf","3","Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf"
"P-063","bertin_mahieux_million_2011","True","ambiguous","5","Bertin-Mahieux et al. - Columbia University LabROSA, EE Dept..pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\571\Bertin-Mahieux et al. - Columbia University LabROSA, EE Dept..pdf","2","McFee et al. - 2012 - The million song dataset challenge.pdf"
"P-064","furini_social_2024","True","matched","12","Furini and Fragnelli - 2024 - Social music discovery an ethical recommendation system based on friend’s preferred songs.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\rp\files\577\Furini and Fragnelli - 2024 - Social music discovery an ethical recommendation system based on friend’s preferred songs.pdf","4","Araz et al. - 2024 - Discogs-VI A Musical Version Identification Dataset Based on Public Editorial Metadata.pdf"
"P-065","schweiger_impact_2025","True","matched","12","Schweiger et al. - 2025 - The impact of playlist characteristics on coherence in user-curated music playlists.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\rp\files\578\Schweiger et al. - 2025 - The impact of playlist characteristics on coherence in user-curated music playlists.pdf","3","Gemilang and Toto Wibowo - 2025 - Combining Graph Neural Network with Attention Mechanism in Sequence-Based Music Recommendation Syste.pdf"
