"ParagraphIndex","Style","OutlineLevel","ListType","ListString","Text"
"74","First Paragraph","10","0","","This project aims to build and assess a playlist generation pipeline whose stages users and evaluators can inspect, adjust, and reproduce, even when user data and candidate tracks come from different sources."
"75","Heading 3","3","0","","Objectives"
"76","Compact","10","4","1.","Design a preference profiling approach from user listening history across different data sources."
"77","Compact","10","4","2.","Build cross-source alignment and candidate filtering with explicit uncertainty handling."
"78","Compact","10","4","3.","Build deterministic scoring and playlist assembly with controls for coherence, diversity, novelty, and ordering."
"79","Compact","10","4","4.","Produce explanation and logging outputs that show pipeline decision logic."
"80","Compact","10","4","5.","Assess how well the pipeline reproduces results and how playlist quality changes when settings change."
"81","Compact","10","4","6.","Identify the limits of the results and the conditions under which the conclusions apply."
"82","Heading 2","2","0","","1.5 Scope and Boundaries"
"83","First Paragraph","10","0","","This project focuses on a single-user content-based pipeline using a fixed candidate corpus based on Music4All (Pegoraro Santana et al., 2020). It does not include collaborative filtering, deep learning models, multi-user personalisation, or large-scale user studies. These boundaries keep the project tractable and allow the evaluation to focus on transparency and controllability."
"84","Heading 2","2","0","","1.6 Contribution of the Project"
"85","First Paragraph","10","0","","This project contributes a transparent, controllable, and reproducible playlist generation pipeline. It shows how users and evaluators can inspect, adjust, and assess recommendation behaviour when user listening data and candidate tracks come from different sources. Each stage produces outputs that support verification, and setting changes produce measurable effects."
"86","Heading 2","2","0","","1.7 Report Framework"
"87","First Paragraph","10","0","","This report has the following structure:"
"88","Compact","10","4","","Chapter 2 reviews the literature on recommender systems, music recommendation, transparency, implicit preference evidence, and cross-source data issues."
"89","Compact","10","4","","Chapter 3 presents the design approach and system architecture, grounded in the gaps and requirements identified in Chapter 2."
"90","Compact","10","4","","Chapter 4 describes the implementation of the pipeline artefact and the evidence it produces."
"91","Compact","10","4","","Chapter 5 presents the evaluation results, covering reproducibility, controllability, and playlist trade-off behaviour."
"92","Compact","10","4","","Chapter 6 discusses the findings, contribution boundaries, limitations, and directions for future work."
"93","Heading 2","2","0","","1.8 Chapter Summary"
"94","First Paragraph","10","0","","This chapter has introduced the motivation, research question, aim, objectives, scope, and structure of the project. Chapter 2 now reviews the literature on recommender systems, implicit preference signals, and transparency requirements that inform the design developed in Chapter 3."
"95","Heading 1","1","0","","Chapter 2: Literature Review"
"96","First Paragraph","10","0","","This chapter reviews literature relevant to transparent and controllable playlist generation under cross-source data conditions. It examines recommendation paradigms, transparency and controllability evidence, profile construction, music-specific challenges, and cross-source alignment, before identifying the research gap addressed by this thesis."
"97","Heading 2","2","0","","2.1 Foundations and Scope of Recommender Systems"
"98","First Paragraph","10","0","","Music streaming environments expose listeners to catalogues of millions of tracks, creating substantial choice complexity and decision fatigue that recommender systems are intended to mitigate. Foundational surveys frame recommendation as utility estimation under uncertainty rather than direct preference detection, because available evidence is partial, noisy, and context-dependent (Adomavicius and Tuzhilin, 2005; Lu et al., 2015). While this framing provides a coherent formal basis, it relies on a strong assumption: historical interaction traces are treated as reliable value proxies, even though media consumption behaviour may reflect convenience, habit, or interface nudging rather than stable preference."
"99","Body Text","10","0","","Interaction logs such as play counts and session traces are frequently interpreted as behavioural indicators of preference, yet they remain indirect and interpretation-dependent (Roy and Dutta, 2022). This dependence introduces a structural inconsistency between scale and validity: implicit data are abundant and operationally efficient, but their causal meaning is often uncertain. Evidence treats observed interaction behaviour as a practical utility signal (Adomavicius and Tuzhilin, 2005), whereas contradictory findings challenge that assumption by showing that interaction evidence is shaped by data-source and context effects that can weaken direct preference interpretation (Roy and Dutta, 2022). This contradiction remains unresolved because high-volume implicit traces improve model learnability while simultaneously weakening causal interpretability."
"100","Body Text","10","0","","A recurring position in recommender research is that higher predictive accuracy reflects higher recommendation quality. However, methodological analyses challenge this claim by showing that reported improvements are highly sensitive to preprocessing, split design, and metric framing (Herlocker et al., 2004; Ferrari Dacrema et al., 2021; Bauer, Zangerle and Said, 2024). While benchmark protocols support comparability, they may understate external validity and explanation fidelity. Studies that prioritise fixed evaluation settings often report strong gains, but these gains do not consistently establish transferability, inspectability, or reproducibility across deployment contexts. The extent to which accuracy gains translate into meaningful recommendation improvements therefore remains uncertain. In the reviewed evidence, reproducibility failures and protocol fragility are repeatedly documented across recommender evaluations (Ferrari Dacrema et al., 2021; Bauer, Zangerle and Said, 2024), whereas many accuracy-centred claims remain dependent on tightly controlled benchmark assumptions."
"101","Body Text","10","0","","The literature progresses from paradigm-level modelling debates to transparency and evaluation concerns, then to profile construction and candidate generation, before narrowing to music-specific constraints and cross-source alignment and reproducibility challenges. Across this progression, each stage inherits assumptions from earlier stages, and accountability is often examined as isolated components rather than as a unified evidential chain."
"102","Heading 2","2","0","","2.2 Core Recommendation Paradigms and Their Trade-offs"
"103","First Paragraph","10","0","","Content-based, collaborative, and hybrid systems remain the dominant paradigm families (Adomavicius and Tuzhilin, 2005; Lu et al., 2015), yet this taxonomy conceals substantive disagreement regarding evidential reliability. Content-based methods prioritise explicit descriptors, collaborative methods prioritise interaction structure, and hybrid methods attempt to combine both. While each can perform strongly under specific conditions, they rely on different assumptions about what constitutes trustworthy evidence, and these assumptions lead to distinct failure modes under sparse, noisy, or cross-source data."
"104","Body Text","10","0","","Figure 2.1. Trade-offs among content-based, collaborative, and hybrid paradigms in the reviewed literature."
"105","Compact","10","0","","Paradigm"
"106","Compact","10","0","","Primary evidence assumption"
"107","Compact","10","0","","Strength under stated conditions"
"108","Compact","10","0","","Typical failure mode"
"109","Compact","10","0","","Accountability risk"
"111","Compact","10","0","","Content-based"
"112","Compact","10","0","","Descriptor-level features are valid preference proxies"
"113","Compact","10","0","","High inspectability of feature contribution logic"
"114","Compact","10","0","","Weak coverage of affective/situational intent when descriptors are incomplete"
"115","Compact","10","0","","Transparent but potentially misaligned with lived preference"
"117","Compact","10","0","","Collaborative"
"118","Compact","10","0","","Dense interaction structure captures relevance reliably"
"119","Compact","10","0","","Strong statistical learnability with rich behaviour matrices"
"120","Compact","10","0","","Exposure/popularity artifacts can distort inferred preference"
"121","Compact","10","0","","Predictive lift may hide causal ambiguity"
"123","Compact","10","0","","Hybrid"
"124","Compact","10","0","","Combining evidence sources improves robustness"
"125","Compact","10","0","","Better aggregate fit across mixed signals"
"126","Compact","10","0","","Attribution clarity decreases as integration complexity increases"
"127","Compact","10","0","","Harder to isolate why specific items were ranked"
"129","Body Text","10","0","","Across all three paradigms, metric design and sparsity conditions can reshape ranking outcomes, so method suitability remains context-dependent rather than universally ordered."
"130","Body Text","10","0","","Content-based recommendation in music relies on metadata, tags, lyrics, and audio descriptors, enabling interpretable feature-level modelling across multiple content layers (Deldjoo, Schedl and Knees, 2024). This can support clearer inspection than latent collaborative factors. However, the same studies expose a key limitation: engineered descriptors only partially capture affective and situational aspects of listening. Explicit content layers are framed as useful for structured content representation and analysis (Deldjoo, Schedl and Knees, 2024), whereas evidence challenges the assumption that feature-space similarity captures listener-perceived similarity with sufficient stability (Flexer and Grill, 2016). The disagreement occurs because descriptor pipelines optimize computable proximity, while perceptual judgments vary with framing and listener context, so representation precision does not guarantee preference fidelity."
"131","Body Text","10","0","","Collaborative filtering estimates relevance from user-item interaction patterns and often achieves strong performance when behavioural matrices are dense (Adomavicius and Tuzhilin, 2005). In contrast, evidence shows that latent representations can obscure direct interpretability of ranking drivers (Zhang and Chen, 2020). Dense interaction structure is treated as a strong relevance signal (Adomavicius and Tuzhilin, 2005), whereas methodological analyses challenge the reliability of that conclusion by showing that protocol and evaluation choices can inflate apparent progress (Ferrari Dacrema et al., 2021; Bauer, Zangerle and Said, 2024). While collaborative approaches are frequently framed as behaviour-faithful, this position is contested by evidence of popularity amplification and exposure bias, which introduce systematic distortions in observed interactions. This unresolved conflict persists because interaction density improves statistical learnability but does not isolate causal preference from exposure artifacts."
"132","Body Text","10","0","","Hybrid systems are often presented as resolving the weaknesses of individual paradigms by combining complementary evidence sources (Çano and Morisio, 2017). However, this position is challenged by findings that increased integration reduces attribution clarity, making it difficult to isolate which component drives ranking outcomes. While hybridisation may improve aggregate performance, it also introduces a methodological constraint: gains in predictive metrics may coincide with reduced explanatory precision and weaker causal traceability."
"133","Body Text","10","0","","Metric design further intensifies these disagreements. Similarity functions, normalisation schemes, and thresholds are model-defining choices that reshape neighbourhood geometry and rank outcomes (Fkih, 2022). Although some studies treat metric selection as a routine tuning step, emerging evidence indicates that metric behaviour varies significantly across scaling choices, descriptor combinations, and objective formulations. The mechanism is direct: metric family and scaling policy determine which items become near neighbours, so Euclidean, cosine, or weighted-distance formulations can produce different local candidate sets before downstream scoring is applied. This raises the possibility that observed improvements may reflect metric artefacts rather than genuine advances in recommendation logic, and consensus on robust metric selection remains limited."
"134","Body Text","10","0","","Data sparsity further differentiates paradigm suitability. Collaborative and many hybrid variants typically depend on dense interaction histories, whereas feature-oriented systems remain functional under sparse or partially unmatched evidence. In sparse cross-source environments, studies report mixed outcomes: additional modelling layers can amplify upstream uncertainty in some settings while improving fit in others. This indicates context-dependent trade-offs rather than a stable complexity hierarchy, although the extent of this effect remains underexplored."
"135","Heading 2","2","0","","2.3 Transparency, Explainability, and User Control in Recommender Literature"
"136","First Paragraph","10","0","","Explanation research has long argued that recommendation quality is multidimensional, extending beyond predictive utility to include transparency, trust, effectiveness, and scrutability (Tintarev and Masthoff, 2007, 2012). However, later findings indicate that these goals do not consistently move together: persuasive explanations can increase confidence without improving understanding. While early frameworks emphasise explanation benefits, subsequent evaluation work challenges the assumption that explanation presence is equivalent to explanation quality."
"137","Body Text","10","0","","Conceptual distinctions are frequently stated but unevenly enforced in empirical studies. Transparency concerns visibility of system logic, explainability concerns intelligibility of specific outputs, controllability concerns user influence over behaviour (Jin et al., 2020), and observability concerns run-level diagnostic visibility. While these categories are analytically separable, many implementations collapse them by presenting post-hoc narratives as transparent reasoning. This position is challenged by evidence that plausible explanations may remain weakly coupled to ranking mechanisms (Zhang and Chen, 2020)."
"138","Body Text","10","0","","Empirical evidence also indicates that explanation effects are strongly context-dependent. Research reports that control-oriented interfaces are associated with higher recommendation acceptance and perceived usefulness under some user-characteristic conditions (Jin et al., 2020), whereas usability-oriented studies suggest that explanation utility depends on user and situational characteristics (Knijnenburg et al., 2012). Broader AI trust literature similarly reinforces that user and application context shape trust outcomes (Afroogh et al., 2024). At the same time, evidence challenges any direct quality inference from perceived usefulness alone by showing that plausible explanations can remain weakly coupled to ranking mechanisms (Zhang and Chen, 2020). While one line of work emphasises user-perceived value, the other highlights comprehension fragility. This inconsistency reveals a methodological gap: most studies privilege either perceived usefulness or explanation fidelity, while joint assessment remains less common."
"139","Body Text","10","0","","Controllability evidence varies in methodological rigor. Research frames stronger control evidence around predictable and interpretable downstream effects (Jin et al., 2020; Nauta et al., 2023). However, many studies report available controls without systematic causal checks linking control changes to stage-level behavioural shifts. While interface-level control options are often treated as sufficient evidence of agency, subsequent findings challenge this assumption by showing that nominal controls may have weak, unstable, or opaque effects."
"140","Body Text","10","0","","Reproducibility and observability face related constraints. Methodological reviews indicate that under-specified preprocessing, split logic, and software or implementation detail can undermine independent reconstruction (Beel et al., 2016; Anelli et al., 2021; Cavenaghi et al., 2023). While richer run logging is often proposed as a remedy, evidence suggests that logging quality depends on whether stage-level transformations are replayable, not merely recorded. Current publication practice remains predominantly outcome-centric, while reproducibility-focused studies advocate fuller process-level evidence that remains inconsistently implemented."
"141","Heading 2","2","0","","2.4 Preference Evidence, Profile Construction, and Candidate Generation"
"142","First Paragraph","10","0","","Profile construction is frequently described as preprocessing, yet it operates as a high-impact modelling stage that defines the evidence distribution entering ranking. Aggregating interaction history can stabilise noise, but it also encodes assumptions about recency, repetition, and signal reliability (Adomavicius and Tuzhilin, 2005; Roy and Dutta, 2022). While preprocessing language implies neutrality, existing work indicates that profile construction is inherently normative because it determines which behavioural traces are privileged as preference evidence."
"143","Body Text","10","0","","Content-based music studies support explicit profile representations built from interpretable descriptors (Bogdanov et al., 2013; Deldjoo, Schedl and Knees, 2024). Compared with embedding-dominant pipelines, this can improve inspection and auditability. However, the same approach introduces a representational limitation: omitted descriptors can systematically compress preference space. While explicit profiles are often presented as transparent alternatives to opaque embeddings, this does not resolve the underlying assumption that selected features adequately represent listener intent. Evidence indicates that behavioural traces can reflect contextual and exposure-related effects (Roy and Dutta, 2022), which means transparent feature aggregation can still be wrong when input evidence is not a clean proxy for stable preference."
"144","Body Text","10","0","","Cross-source pipelines intensify these concerns because profile quality depends on alignment completeness and source consistency. If imported history is sparse, temporally skewed, or partially unmatched, downstream ranking inherits those distortions. In contrast to score-level explanations that emphasise final ranking logic, this literature foregrounds profile-side uncertainty as a key interpretive factor before ranking outcomes are assessed. A persistent inconsistency in current literature is that profile uncertainty is often underreported relative to confidence in final ranked outputs."
"145","Body Text","10","0","","Explicit user-correction mechanisms — including influence track injection (Jin et al., 2020) and mood-based interactive filtering (Andjelkovic, Parra and O’Donovan, 2019) — are proposed as pathways to introduce user-steerable profile adjustment signals. While these approaches suggest improved controllability, subsequent evidence indicates that effect size depends heavily on integration constraints and weighting rules. If influence signals are weakly weighted, actuation becomes negligible; if heavily weighted, profile stability deteriorates. This contradiction reflects a calibration challenge in which reported control utility depends on whether behavioural effects are detectable and stable across settings."
"146","Body Text","10","0","","Candidate generation is another critical but under-analysed stage. Recommendation behaviour is strongly conditioned by pre-scoring pool composition, and playlist-continuation studies show high sensitivity to candidate handling decisions (Zamani et al., 2019). While thresholding is often justified as computational efficiency, it simultaneously reshapes diversity, novelty, and coverage. Technically, downstream metrics are conditional on the surviving candidate support set, so threshold changes alter the measurement space itself rather than merely tuning performance within a fixed space. This challenges score-centric evaluation assumptions and positions exclusion rules as substantive recommendation logic rather than operational side effects."
"147","Body Text","10","0","","Research shows that method composition and candidate handling materially change continuation outcomes (Zamani et al., 2019), whereas hybrid ranking performance has been emphasized in automatic playlist continuation under challenge settings (Ferraro et al., 2018). The contradiction is methodological rather than rhetorical: if candidate generation changes which tracks can be scored, downstream score quality cannot be interpreted independently of upstream exclusion logic. The mechanism is straightforward: threshold and filtering policies alter the support of the ranked distribution before scoring, so later gains in ranking metrics may partly reflect candidate-space pruning rather than stronger relevance modeling."
"148","Heading 2","2","0","","2.5 Music Recommendation and Playlist-Specific Challenges"
"149","First Paragraph","10","0","","Music recommendation does not map cleanly to generic top-N retrieval because listener evaluation is sequential and relational rather than purely itemwise. Research shows that short-track consumption, contextual variability, and session dynamics weaken static relevance assumptions (Schedl et al., 2018). While top-N metrics can capture item-level fit, they can underrepresent transition coherence and temporal flow. This mismatch suggests that conventional ranking metrics and lived playlist quality are not consistently aligned."
"150","Body Text","10","0","","Playlist studies show that coherence, diversity, novelty, and order operate as competing objectives rather than jointly maximisable targets (Bonnin and Jannach, 2015; Ferraro et al., 2018; Vall et al., 2019; Schweiger, Parada-Cabaleiro and Schedl, 2025). While some optimisation studies imply tractable balancing, others demonstrate objective interference where gains in one criterion degrade another. The conflict is technical as well as conceptual: coherence objectives often minimize local feature distance between adjacent tracks, whereas diversity objectives maximize spread across feature space, so improvement in one objective can mathematically reduce the other. Hybrid signal integration has been claimed to improve continuation quality (Ferraro et al., 2018), whereas evidence challenges one-dimensional improvement claims by showing that coherence values shift with distance-feature definitions and playlist characteristics (Schweiger, Parada-Cabaleiro and Schedl, 2025). This challenges the assumption that a single objective function can adequately represent playlist quality and reveals a continuing multi-objective evaluation gap."
"151","Body Text","10","0","","Perceived music similarity is itself unstable. Evidence reports low inter-rater agreement and strong framing effects (Flexer and Grill, 2016), indicating that similarity judgements are partly subjective and context-conditioned. While many systems operationalise relevance through feature-space proximity, this is challenged by listener-level variability in meaning and context. The resulting tension is unresolved: similarity scores may be computationally precise yet behaviourally ambiguous."
"152","Body Text","10","0","","Dataset suitability introduces an additional constraint. Music4All supports reproducible multimodal experimentation through metadata, tags, lyrics, and audio-related attributes (Pegoraro Santana et al., 2020), and subsequent work demonstrates utility in multimodal genre-related tasks (Ru et al., 2023). However, transfer from representation or classification performance to preference fidelity is not guaranteed. This contradicts assumptions that richer descriptor coverage automatically implies recommendation validity and highlights an external-validity gap between dataset affordances and listening intent."
"153","Heading 2","2","0","","2.6 Feature-Based and Latent Approaches: Comparative Strengths and Limits"
"154","First Paragraph","10","0","","Literature comparing feature-based and latent recommender families converges on a persistent trade-off between inspectability and representational flexibility. Feature-based scoring pipelines support descriptor-level attribution of rank variation, and this can improve post-hoc inspectability of observed outputs (Bogdanov et al., 2013; Deldjoo, Schedl and Knees, 2024). However, inspectability alone does not establish behavioural adequacy, because transparent feature computations can still encode weak assumptions when available descriptors omit contextual and affective preference factors."
"155","Body Text","10","0","","Hybrid and neural models have been reported to outperform simpler approaches in data-rich settings (Çano and Morisio, 2017; He et al., 2017), whereas evidence challenges the practical sufficiency of those gains by highlighting interpretability and explanation-fidelity deficits in opaque model families (Zhang and Chen, 2020). The technical disagreement is about evidence quality, not only model capacity: higher-capacity architectures may capture more interaction structure, but the contribution of specific signals becomes harder to attribute, making causal inspection and explanation validation more difficult."
"156","Body Text","10","0","","Similarity metric sensitivity remains a central technical caveat across both feature-based and hybrid families. Distance functions define local structure in feature space and therefore shape neighbour selection and final rank behaviour (Fkih, 2022). Metric choice is treated as a first-order determinant of recommender behaviour (Fkih, 2022), whereas papers that report aggregate gains without metric-ablation detail implicitly treat metric choice as secondary tuning. The contradiction arises because scaling, normalization, and descriptor weighting jointly transform neighbourhood geometry, so identical feature sets can yield materially different rankings under different metric configurations."
"157","Body Text","10","0","","Taken together, this literature does not support a universal hierarchy among feature-based, latent, hybrid, and deterministic approaches. Instead, it points to an unresolved comparative problem: studies that emphasise predictive lift often under-specify explanation fidelity and auditability conditions, while studies that emphasise transparency often under-specify representational adequacy under richer preference contexts."
"158","Heading 2","2","0","","2.7 Cross-Source Alignment and Reproducibility"
"159","First Paragraph","10","0","","Cross-source recommendation depends on entity alignment across heterogeneous identifiers and metadata. Entity-resolution literature supports matching pipelines that manage combinatorial search and uncertainty, with blocking and filtering explicitly formalized in later survey work (Elmagarmid, Ipeirotis and Verykios, 2007; Papadakis et al., 2021). While identifier-first matching can provide high precision, fallback metadata pathways introduce unresolved ambiguity. Entity-resolution studies therefore discuss confidence-sensitive matching representations, while binary matched/unmatched reporting remains common in recommender practice."
"160","Body Text","10","0","","Reproducibility failures in recommender research are repeatedly linked to incomplete protocol specification, hidden preprocessing steps, and dependency drift (Ferrari Dacrema et al., 2021; Bellogin and Said, 2021; Anelli et al., 2021; Zhu et al., 2022). Standardized benchmark infrastructure has been claimed to improve comparability (Zhu et al., 2022), whereas evidence challenges the sufficiency of infrastructure alone by showing that accountability still degrades when assumptions, preprocessing choices, and evaluation contexts are underreported (Bellogin and Said, 2021). While result-focused reporting remains common, recent explainability work in music contexts demonstrates that feature-level mechanism explanations, showing which specific modalities and attributes drive individual outputs, provide more informative auditing than aggregate prediction scores alone (Sotirou et al., 2025). Reproducibility-focused studies advocate fuller process tracing across configuration, alignment, candidate handling, scoring, and assembly stages, but such evidence remains unevenly standardized in published work."
"161","Captioned Figure","10","0","","/"
"162","Image Caption","10","0","","Figure 2.2. Uncertainty across recommendation stages in the reviewed literature."
"163","Heading 2","2","0","","2.8 Research Gap and Thesis Positioning"
"164","First Paragraph","10","0","","Across the reviewed literature, several consistent findings emerge: method suitability is objective-dependent, explanation persuasiveness is not equivalent to explanation fidelity, profile construction and candidate generation are first-order modelling decisions, and reproducibility depends on process-level evidence. Music-specific alignment benchmarks remain less developed than broader entity-resolution benchmarks, and deterministic similarity effects are rarely isolated across multiple datasets and competing playlist objectives (Elmagarmid, Ipeirotis and Verykios, 2007; Ferraro et al., 2018; Papadakis et al., 2021; Schweiger, Parada-Cabaleiro and Schedl, 2025). The central gap is therefore not a lack of recommendation methods, but a lack of integrated evidence showing how transparency, profile assumptions, candidate-generation logic, controllability, reproducibility, and multi-objective playlist quality interact within one inspectable recommendation process. Existing work frequently evaluates these concerns in partial slices rather than as one linked evidential chain, so accountability claims remain difficult to compare against optimisation-focused results (Zamani et al., 2019; Jin et al., 2020; Ferrari Dacrema et al., 2021; Bellogin and Said, 2021; Roy and Dutta, 2022; Bauer, Zangerle and Said, 2024; Schweiger, Parada-Cabaleiro and Schedl, 2025)."
"165","Body Text","10","0","","This thesis is positioned to address that integrated gap by designing and evaluating recommendation behaviour as a connected pipeline rather than as disconnected components, with explicit attention to profile-side assumptions, candidate-space shaping, observable control effects, and process-level reproducibility across stages (Beel et al., 2016; Jin et al., 2020; Anelli et al., 2021; Roy and Dutta, 2022; Nauta et al., 2023). Playlist quality is therefore treated as a visible trade-off among coherence, diversity, novelty, and ordering rather than a single-axis optimisation target (Ferraro et al., 2018; Vall et al., 2019; Schweiger, Parada-Cabaleiro and Schedl, 2025). The contribution is explicitly bounded to the design and evaluation of a transparent and controllable playlist generation pipeline under cross-source data conditions, rather than model-family novelty."
"166","Heading 2","2","0","","2.9 Chapter Summary"
"167","First Paragraph","10","0","","This chapter has reviewed literature relevant to transparent and controllable playlist generation under cross-source data conditions. It has examined the evidential reliability of recommendation paradigms, the gap between explanation persuasiveness and explanation fidelity, the modelling significance of profile construction and candidate generation, and the challenges specific to music recommendation and playlist quality. The cross-source alignment and reproducibility sections further established that uncertainty in preference evidence and process-level traceability are first-order design concerns rather than secondary implementation details. Chapter 3 now translates these findings into a concrete design methodology and architecture for the artefact developed in this thesis."
"168","Heading 1","1","0","","Chapter 3: Design and Methodology"
"169","Heading 2","2","0","","3.1 Introduction"
"170","First Paragraph","10","0","","This chapter outlines how the playlist-generation pipeline is designed and structured. Building on Chapter 2, it translates requirements into concrete design decisions and moves from methodological position through overall architecture to each main design area in turn: alignment, preference profiling, candidate shaping, scoring, playlist assembly, and run-level observability."
"171","Heading 2","2","0","","3.2 Design Methodology"
"172","First Paragraph","10","0","","This chapter takes a Design Science Research position in which the Chapter 2 literature synthesis is translated into explicit engineering requirements and then into an implementable artefact architecture (Peffers et al., 2007). The workflow follows the thesis sequence established in Chapter 1, moving from literature to requirements, design, implementation, and evaluation. Chapter 3 therefore defines the intended design of the artefact, while later chapters assess how well that design is realized."
"173","Body Text","10","0","","This distinction matters because the chapter is not trying to establish a universally best recommendation method. Instead, it defines an architecture that is defensible within the contribution boundary established at the end of Chapter 2: a transparent and controllable playlist-generation pipeline under cross-source data conditions, evaluated through explicit engineering evidence rather than model-family novelty."
"174","Heading 2","2","0","","3.3 Literature-Driven Design Requirements"
"175","First Paragraph","10","0","","Chapter 2 points to six design requirements that should shape the artefact."
"176","Compact","10","0","","Requirement"
"177","Compact","10","0","","Design rationale"
"179","Compact","10","0","","Uncertainty-aware preference evidence"
"180","Compact","10","0","","Interaction history should be treated as useful but imperfect evidence rather than direct preference truth (Adomavicius and Tuzhilin, 2005; Roy and Dutta, 2022)."
"182","Compact","10","0","","Inspectability"
"183","Compact","10","0","","Rankings should be traceable to explicit scoring, candidate-selection, and assembly decisions rather than persuasive post-hoc language alone (Tintarev and Masthoff, 2007, 2012; Zhang and Chen, 2020)."
"185","Compact","10","0","","Practical controllability"
"186","Compact","10","0","","The system should expose clear user influence paths and decision-relevant controls whose effects can later be examined (Andjelkovic, Parra and O’Donovan, 2019; Jin et al., 2020)."
"188","Compact","10","0","","Candidate-generation visibility"
